"Chord","Key Strokes"
"   O ROOO","<Backspace>"
"   N ROOO","<Left GUI><Backspace></Left GUI>"
"   O MOOO"," "
"   N MOOO","<Left GUI> </Left GUI>"
"   O LOOO","s"
"   N LOOO","<Left GUI>s</Left GUI>"
"   O OROO","i"
"   N OROO","<Left GUI>i</Left GUI>"
"   O RROO","3"
"   O MROO","c"
"   N MROO","<Left GUI>c</Left GUI>"
"   O LROO","is"
"   O OMOO","e"
"   N OMOO","<Left GUI>e</Left GUI>"
"   O RMOO","<UpArrow>"
"   N RMOO","<Left GUI><UpArrow></Left GUI>"
"   O MMOO","<LeftArrow>"
"   N MMOO","<Left GUI><LeftArrow></Left GUI>"
"   O LMOO","es"
"  NA RMOO","<Right Alt><Shift><UpArrow></Shift></Right Alt>"
"  NA MMOO","<Right Alt><Shift><LeftArrow></Shift></Right Alt>"
"   O OLOO","o"
"   N OLOO","<Left GUI>o</Left GUI>"
"   O RLOO","6"
"   O MLOO","<RightArrow>"
"   N MLOO","<Left GUI><RightArrow></Left GUI>"
"   O LLOO","."
"  NA MLOO","<Right Alt><Shift><RightArrow></Shift></Right Alt>"
"   O OORO","n"
"   N OORO","<Left GUI>n</Left GUI>"
"   O RORO","4"
"   O MORO","f"
"   N MORO","<Left GUI>f</Left GUI>"
"   O LORO","{"
"   O ORRO","in"
"   O RRRO","<Left Ctrl>c</Left Ctrl>"
"   O MRRO",","
"   O OMRO","en"
"   O RMRO","&"
"   O MMRO","j"
"   N MMRO","<Left GUI>j</Left GUI>"
"   O LMRO","<Home>"
"   O OLRO","on"
"   O MLRO","of"
"   O LLRO","#"
"   O OOMO","t"
"   N OOMO","<Left GUI>t</Left GUI>"
"   O ROMO","<DownArrow>"
"   N ROMO","<Left GUI><DownArrow></Left GUI>"
"   O MOMO","l"
"   N MOMO","<Left GUI>l</Left GUI>"
"   O LOMO","st"
"  NA ROMO","<Right Alt><Shift><DownArrow></Shift></Right Alt>"
"   O ORMO","it"
"   O RRMO","<Left Ctrl>v</Left Ctrl>"
"   O MRMO","il"
"   O OMMO","et"
"   O RMMO","0"
"   O MMMO","<Delete>"
"   O LMMO","<PageUp>"
"   O OLMO","ot"
"   O MLMO",":"
"   O LLMO","?"
"   O OOLO","r"
"   N OOLO","<Left GUI>r</Left GUI>"
"   O ROLO","7"
"   O MOLO","u"
"   N MOLO","<Left GUI>u</Left GUI>"
"   O LOLO","}"
"   O ORLO","+"
"   O RRLO","<Left Ctrl>x</Left Ctrl>"
"   O OMLO","er"
"   O RMLO","\"
"   O MMLO","q"
"   N MMLO","<Left GUI>q</Left GUI>"
"   O LMLO","<End>"
"   O OLLO","or"
"   O RLLO","9"
"   O MLLO","ou"
"   O LLLO",";"
"   S LROO","Is"
"   S LMOO","Es"
"   S ORRO","In"
"   S OMRO","En"
"   S OLRO","On"
"   S MLRO","Of"
"   S LOMO","St"
"   S ORMO","It"
"   S MRMO","Il"
"   S OMMO","Et"
"   S OLMO","Ot"
"   S OMLO","Er"
"   S OLLO","Or"
"   S MLLO","Ou"
"   O OOOR","a"
"   N OOOR","<Left GUI>a</Left GUI>"
"   O ROOR","5"
"   O MOOR","d"
"   N MOOR","<Left GUI>d</Left GUI>"
"   O LOOR","as"
"   O OROR","g"
"   N OROR","<Left GUI>g</Left GUI>"
"   O RROR","<Left Ctrl>z</Left Ctrl>"
"   O MROR","ac"
"   O LROR","@"
"   O OMOR","v"
"   O MMOR","ed"
"   O LMOR","<Insert>"
"   O OLOR","/"
"   N OLOR","<Left GUI>x</Left GUI>"
"   O RLOR","["
"   O LLOR","<"
"   O OORR","an"
"   O RORR","8"
"   O MORR","and"
"   N MORR","<Left GUI>z</Left GUI>"
"   O LORR","("
"   O ORRR","ing"
"   O RRRR","<F1>"
"   O OMRR","*"
"   O RMRR","<F10>"
"   O MMRR","<F4>"
"   O OLRR","<Left Ctrl>a</Left Ctrl>"
"   O LLRR","<F7>"
"   O OOMR","at"
"   O ROMR","alexbravo"
"   O MOMR","al"
"   O ORMR","|"
"   O OMMR","'"
"   O OLMR","$"
"   O OOLR","ar"
"   S LOOR","As"
"   S MROR","Ac"
"   S MMOR","Ed"
"   S OORR","An"
"   S MORR","And"
"   S ORRR","Ing"
"   S OOMR","At"
"   S ROMR","Alex Bravo"
"   S MOMR","Al"
"   S OOLR","Ar"
"   O OOOM","h"
"   N OOOM","<Left GUI>h</Left GUI>"
"   O ROOM","2"
"   O MOOM","m"
"   N MOOM","<Left GUI>m</Left GUI>"
"   O LOOM","w"
"   N LOOM","<Left GUI>w</Left GUI>"
"   O OROM","y"
"   N OROM","<Left GUI>y</Left GUI>"
"   O RROM","<Left Ctrl>Z</Left Ctrl>"
"   O MROM","ch"
"   O OMOM","p"
"   N OMOM","<Left GUI>p</Left GUI>"
"   O RMOM",""""
