"Chord","Key Strokes"
"   O ROOO","a"
"   N ROOO","1"
"   O MOOO","e"
"   N MOOO","5"
"   O LOOO"," "
"   N LOOO","9"
"  NA ROOO","<F1>"
"  NA MOOO","<F5>"
"  NA LOOO","<F9>"
"   O OROO","b"
"   N OROO","2"
"   O RROO","."
"   O MROO","r"
"   O LROO","i"
"  NA OROO","<F2>"
"  NA LROO","<Left Alt><F1></Left Alt>"
"   O OMOO","f"
"   N OMOO","6"
"   O RMOO","'"
"   N RMOO","["
"   O MMOO","u"
"   O LMOO","l"
"   N LMOO","^"
"  NA OMOO","<F6>"
"  NA LMOO","<Left Alt><F4></Left Alt>"
"   O OLOO","<Delete>"
"   N OLOO","0"
"   O RLOO","?"
"   O MLOO","x"
"   O LLOO","o"
"  NA OLOO","<F10>"
"  NA LLOO","<Left Alt><F7></Left Alt>"
"   O OORO","c"
"   N OORO","3"
"   O RORO",","
"   N RORO",">"
"   O MORO","s"
"   O LORO","j"
"  NA OORO","<F3>"
"  NA LORO","<Left Alt><F2></Left Alt>"
"   O ORRO","the "
"   O RRRO","<Escape>"
"   O OMRO","<UpArrow>"
"   O OLRO","$"
"   N LLRO","|"
"  NA OLRO","<Left Alt><F10></Left Alt>"
"   O OOMO","g"
"   N OOMO","7"
"   O ROMO",""""
"   O MOMO","v"
"   O LOMO","m"
"  NA OOMO","<F7>"
"  NA LOMO","<Left Alt><F5></Left Alt>"
"   O ORMO","of "
"   O OMMO","<LeftArrow>"
"   O MMMO","/"
"   N LLMO","~"
"  NA OLMO","<Left Alt><F12></Left Alt>"
"   C LLMO","<Insert>"
"   O OOLO","<Backspace>"
"   O ROLO","!"
"   N ROLO","`"
"   O MOLO","y"
"   O LOLO","p"
"  NA OOLO","<F11>"
"  NA LOLO","<Left Alt><F8></Left Alt>"
"   O ORLO",")"
"   O OMLO","<DownArrow>"
"   O OLLO","("
"   O LLLO","\"
"   S ORRO","The "
"   O OOOR","d"
"   N OOOR","4"
"   O ROOR",";"
"   O MOOR","t"
"   O LOOR","k"
"  NA OOOR","<F4>"
"  NA LOOR","<Left Alt><F3></Left Alt>"
"   O OROR","to "
"   O OMOR","ed "
"   N LLOR","}"
"  NA OLOR","<Left Alt><F11></Left Alt>"
"   O OORR","<PageUp>"
"   O RORR","ant "
"   O ORRR","<Home>"
"   O RRRR","<CapsLock>"
"   O OOMR","="
"   O OOLR","@"
"   O OOOM","h"
"   N OOOM","8"
"   O ROOM","and "
"   N ROOM","]"
"   O MOOM","w"
"   O LOOM","n"
"  NA OOOM","<F8>"
"  NA LOOM","<Left Alt><F6></Left Alt>"
"   O OROM","in"
"   O OMOM","<RightArrow>"
"   O MMOM","<Tab>"
"   O OLOM","ion "
"   O OORM","%"
"   O OOMM","ing "
"   O MOMM","ent "
"   O MMMM","<NumLock>"
"   O OOLM","*"
"   O OOOL","<Return>"
"   O ROOL","-"
"   N ROOL","{"
"   O MOOL","z"
"   N MOOL","<"
"   O LOOL","q"
"  NA OOOL","<F12>"
"  NA LOOL","<Left Alt><F9></Left Alt>"
"   O OROL","_"
"   O OMOL","#"
"   O OLOL","&"
"  NA LLOL","<ScrollLock>"
"   O OORL",":"
"   O OOML","+"
"   O OOLL","<PageDown>"
"   O OLLL","<End>"
